setting,R@1,R@5,R@10,MRR,nDCG@10,mAP
Text→Image,"71.08 [69.8,72.3]","90.54 [89.7,91.3]","95.08 [94.5,95.7]","0.80 [0.8,0.8]","83.26 [82.5,84.0]",
Image→Text,"83.60 [81.3,85.9]","95.90 [94.7,97.0]","98.40 [97.6,99.2]","0.89 [0.9,0.9]","78.73 [77.2,80.3]","73.21 [71.7,74.8]"
